ecoregion1,ecoregion2,proportion
Southern Andean Yungas,Northern Andean paramo,0
Southern Andean steppe,Northern Andean paramo,0
Tumbes Piura dry forests,Northern Andean paramo,0.25
Valdivian temperate forests,Northern Andean paramo,0
Venezuelan Andes montane forests,Northern Andean paramo,0.666666667
Araya and Paria xeric scrub,Northwestern Andean montane forests,0
Atacama desert,Northwestern Andean montane forests,0
Bolivian Yungas,Northwestern Andean montane forests,0
Bolivian montane dry forests,Northwestern Andean montane forests,0
Cauca Valley dry forests,Northwestern Andean montane forests,0.5
Cauca Valley montane forests,Northwestern Andean montane forests,0.5
Central Andean dry puna,Northwestern Andean montane forests,0
Central Andean puna,Northwestern Andean montane forests,0
Central Andean wet puna,Northwestern Andean montane forests,0
Chilean matorral,Northwestern Andean montane forests,0
Cordillera Central paramo,Northwestern Andean montane forests,0.333333333
Cordillera La Costa montane forests,Northwestern Andean montane forests,0
Cordillera Oriental montane forests,Northwestern Andean montane forests,0.333333333
Cordillera de Merida paramo,Northwestern Andean montane forests,0
Eastern Cordillera real montane forests,Northwestern Andean montane forests,0.666666667
High Monte,Northwestern Andean montane forests,0
La Costa xeric shrublands,Northwestern Andean montane forests,0
Lake,Northwestern Andean montane forests,0
Lara Falcon dry forests,Northwestern Andean montane forests,0
Magdalena Valley dry forests,Northwestern Andean montane forests,0.5
Magdalena Valley montane forests,Northwestern Andean montane forests,0.5
Magellanic subpolar forests,Northwestern Andean montane forests,0
Maranon dry forests,Northwestern Andean montane forests,0
Northern Andean paramo,Northwestern Andean montane forests,0.666666667
Patagonian steppe,Northwestern Andean montane forests,0
Patia Valley dry forests,Northwestern Andean montane forests,0.5
Peruvian Yungas,Northwestern Andean montane forests,0
Rock and Ice,Northwestern Andean montane forests,0
Santa Marta montane forests,Northwestern Andean montane forests,0.5
Santa Marta paramo,Northwestern Andean montane forests,0.5
Southern Andean Yungas,Northwestern Andean montane forests,0
Southern Andean steppe,Northwestern Andean montane forests,0
Tumbes Piura dry forests,Northwestern Andean montane forests,0.333333333
Valdivian temperate forests,Northwestern Andean montane forests,0
Venezuelan Andes montane forests,Northwestern Andean montane forests,0.333333333
Araya and Paria xeric scrub,Patagonian steppe,0
Atacama desert,Patagonian steppe,0.5
Bolivian Yungas,Patagonian steppe,0
Bolivian montane dry forests,Patagonian steppe,0.333333333
Cauca Valley dry forests,Patagonian steppe,0
Cauca Valley montane forests,Patagonian steppe,0
Central Andean dry puna,Patagonian steppe,0.5
Central Andean puna,Patagonian steppe,0.5
Central Andean wet puna,Patagonian steppe,0
Chilean matorral,Patagonian steppe,0.5
Cordillera Central paramo,Patagonian steppe,0
Cordillera La Costa montane forests,Patagonian steppe,0
Cordillera Oriental montane forests,Patagonian steppe,0
Cordillera de Merida paramo,Patagonian steppe,0
Eastern Cordillera real montane forests,Patagonian steppe,0
High Monte,Patagonian steppe,0.5
La Costa xeric shrublands,Patagonian steppe,0
Lake,Patagonian steppe,0
Lara Falcon dry forests,Patagonian steppe,0
Magdalena Valley dry forests,Patagonian steppe,0
Magdalena Valley montane forests,Patagonian steppe,0
Magellanic subpolar forests,Patagonian steppe,1
Maranon dry forests,Patagonian steppe,0
Northern Andean paramo,Patagonian steppe,0
Northwestern Andean montane forests,Patagonian steppe,0
Patia Valley dry forests,Patagonian steppe,0
Peruvian Yungas,Patagonian steppe,0
Rock and Ice,Patagonian steppe,1
Santa Marta montane forests,Patagonian steppe,0
Santa Marta paramo,Patagonian steppe,0
Southern Andean Yungas,Patagonian steppe,0.333333333
Southern Andean steppe,Patagonian steppe,1
Tumbes Piura dry forests,Patagonian steppe,0
Valdivian temperate forests,Patagonian steppe,1
Venezuelan Andes montane forests,Patagonian steppe,0
Araya and Paria xeric scrub,Patia Valley dry forests,0
Atacama desert,Patia Valley dry forests,0
Bolivian Yungas,Patia Valley dry forests,0
Bolivian montane dry forests,Patia Valley dry forests,0
Cauca Valley dry forests,Patia Valley dry forests,1
Cauca Valley montane forests,Patia Valley dry forests,1
Central Andean dry puna,Patia Valley dry forests,0
Central Andean puna,Patia Valley dry forests,0
Central Andean wet puna,Patia Valley dry forests,0
Chilean matorral,Patia Valley dry forests,0
Cordillera Central paramo,Patia Valley dry forests,0
Cordillera La Costa montane forests,Patia Valley dry forests,0
Cordillera Oriental montane forests,Patia Valley dry forests,0.5
Cordillera de Merida paramo,Patia Valley dry forests,0
Eastern Cordillera real montane forests,Patia Valley dry forests,0.333333333
High Monte,Patia Valley dry forests,0
La Costa xeric shrublands,Patia Valley dry forests,0
Lake,Patia Valley dry forests,0
Lara Falcon dry forests,Patia Valley dry forests,0
Magdalena Valley dry forests,Patia Valley dry forests,1
Magdalena Valley montane forests,Patia Valley dry forests,1
Magellanic subpolar forests,Patia Valley dry forests,0
Maranon dry forests,Patia Valley dry forests,0
Northern Andean paramo,Patia Valley dry forests,0.333333333
Northwestern Andean montane forests,Patia Valley dry forests,0.5
Patagonian steppe,Patia Valley dry forests,0
Peruvian Yungas,Patia Valley dry forests,0
Rock and Ice,Patia Valley dry forests,0
Santa Marta montane forests,Patia Valley dry forests,1
Santa Marta paramo,Patia Valley dry forests,1
Southern Andean Yungas,Patia Valley dry forests,0
Southern Andean steppe,Patia Valley dry forests,0
Tumbes Piura dry forests,Patia Valley dry forests,0
Valdivian temperate forests,Patia Valley dry forests,0
Venezuelan Andes montane forests,Patia Valley dry forests,0.5
Araya and Paria xeric scrub,Peruvian Yungas,0
Atacama desert,Peruvian Yungas,0
Bolivian Yungas,Peruvian Yungas,0.5
Bolivian montane dry forests,Peruvian Yungas,0
Cauca Valley dry forests,Peruvian Yungas,0
Cauca Valley montane forests,Peruvian Yungas,0
Central Andean dry puna,Peruvian Yungas,0.25
Central Andean puna,Peruvian Yungas,0.25
Central Andean wet puna,Peruvian Yungas,0.5
Chilean matorral,Peruvian Yungas,0
Cordillera Central paramo,Peruvian Yungas,0.5
Cordillera La Costa montane forests,Peruvian Yungas,0
Cordillera Oriental montane forests,Peruvian Yungas,0
Cordillera de Merida paramo,Peruvian Yungas,0
Eastern Cordillera real montane forests,Peruvian Yungas,0.333333333
High Monte,Peruvian Yungas,0
La Costa xeric shrublands,Peruvian Yungas,0
Lake,Peruvian Yungas,0.5
Lara Falcon dry forests,Peruvian Yungas,0
Magdalena Valley dry forests,Peruvian Yungas,0
Magdalena Valley montane forests,Peruvian Yungas,0
Magellanic subpolar forests,Peruvian Yungas,0
Maranon dry forests,Peruvian Yungas,1
Northern Andean paramo,Peruvian Yungas,0
Northwestern Andean montane forests,Peruvian Yungas,0
Patagonian steppe,Peruvian Yungas,0
Patia Valley dry forests,Peruvian Yungas,0
Rock and Ice,Peruvian Yungas,0
Santa Marta montane forests,Peruvian Yungas,0
Santa Marta paramo,Peruvian Yungas,0
Southern Andean Yungas,Peruvian Yungas,0
Southern Andean steppe,Peruvian Yungas,0
Tumbes Piura dry forests,Peruvian Yungas,0.5
Valdivian temperate forests,Peruvian Yungas,0
Venezuelan Andes montane forests,Peruvian Yungas,0
Araya and Paria xeric scrub,Rock and Ice,0
Atacama desert,Rock and Ice,0.5
Bolivian Yungas,Rock and Ice,0
Bolivian montane dry forests,Rock and Ice,0.333333333
Cauca Valley dry forests,Rock and Ice,0
Cauca Valley montane forests,Rock and Ice,0
Central Andean dry puna,Rock and Ice,0.5
Central Andean puna,Rock and Ice,0.5
Central Andean wet puna,Rock and Ice,0
Chilean matorral,Rock and Ice,0.5
Cordillera Central paramo,Rock and Ice,0
Cordillera La Costa montane forests,Rock and Ice,0
Cordillera Oriental montane forests,Rock and Ice,0
Cordillera de Merida paramo,Rock and Ice,0
Eastern Cordillera real montane forests,Rock and Ice,0
High Monte,Rock and Ice,0.5
La Costa xeric shrublands,Rock and Ice,0
Lake,Rock and Ice,0
Lara Falcon dry forests,Rock and Ice,0
Magdalena Valley dry forests,Rock and Ice,0
Magdalena Valley montane forests,Rock and Ice,0
Magellanic subpolar forests,Rock and Ice,1
Maranon dry forests,Rock and Ice,0
Northern Andean paramo,Rock and Ice,0
Northwestern Andean montane forests,Rock and Ice,0
Patagonian steppe,Rock and Ice,1
Patia Valley dry forests,Rock and Ice,0
Peruvian Yungas,Rock and Ice,0
Santa Marta montane forests,Rock and Ice,0
Santa Marta paramo,Rock and Ice,0
Southern Andean Yungas,Rock and Ice,0.333333333
Southern Andean steppe,Rock and Ice,1
Tumbes Piura dry forests,Rock and Ice,0
Valdivian temperate forests,Rock and Ice,1
Venezuelan Andes montane forests,Rock and Ice,0
Araya and Paria xeric scrub,Santa Marta montane forests,0
Atacama desert,Santa Marta montane forests,0
Bolivian Yungas,Santa Marta montane forests,0
Bolivian montane dry forests,Santa Marta montane forests,0
Cauca Valley dry forests,Santa Marta montane forests,1
Cauca Valley montane forests,Santa Marta montane forests,1
Central Andean dry puna,Santa Marta montane forests,0
Central Andean puna,Santa Marta montane forests,0
Central Andean wet puna,Santa Marta montane forests,0
Chilean matorral,Santa Marta montane forests,0
Cordillera Central paramo,Santa Marta montane forests,0
Cordillera La Costa montane forests,Santa Marta montane forests,0
Cordillera Oriental montane forests,Santa Marta montane forests,0.5
Cordillera de Merida paramo,Santa Marta montane forests,0
Eastern Cordillera real montane forests,Santa Marta montane forests,0.333333333
High Monte,Santa Marta montane forests,0
La Costa xeric shrublands,Santa Marta montane forests,0
Lake,Santa Marta montane forests,0
Lara Falcon dry forests,Santa Marta montane forests,0
Magdalena Valley dry forests,Santa Marta montane forests,1
Magdalena Valley montane forests,Santa Marta montane forests,1
Magellanic subpolar forests,Santa Marta montane forests,0
Maranon dry forests,Santa Marta montane forests,0
Northern Andean paramo,Santa Marta montane forests,0.333333333
Northwestern Andean montane forests,Santa Marta montane forests,0.5
Patagonian steppe,Santa Marta montane forests,0
Patia Valley dry forests,Santa Marta montane forests,1
Peruvian Yungas,Santa Marta montane forests,0
Rock and Ice,Santa Marta montane forests,0
Santa Marta paramo,Santa Marta montane forests,1
Southern Andean Yungas,Santa Marta montane forests,0
Southern Andean steppe,Santa Marta montane forests,0
Tumbes Piura dry forests,Santa Marta montane forests,0
Valdivian temperate forests,Santa Marta montane forests,0
Venezuelan Andes montane forests,Santa Marta montane forests,0.5
Araya and Paria xeric scrub,Santa Marta paramo,0
Atacama desert,Santa Marta paramo,0
Bolivian Yungas,Santa Marta paramo,0
Bolivian montane dry forests,Santa Marta paramo,0
Cauca Valley dry forests,Santa Marta paramo,1
Cauca Valley montane forests,Santa Marta paramo,1
Central Andean dry puna,Santa Marta paramo,0
Central Andean puna,Santa Marta paramo,0
Central Andean wet puna,Santa Marta paramo,0
Chilean matorral,Santa Marta paramo,0
Cordillera Central paramo,Santa Marta paramo,0
Cordillera La Costa montane forests,Santa Marta paramo,0
Cordillera Oriental montane forests,Santa Marta paramo,0.5
Cordillera de Merida paramo,Santa Marta paramo,0
Eastern Cordillera real montane forests,Santa Marta paramo,0.333333333
High Monte,Santa Marta paramo,0
La Costa xeric shrublands,Santa Marta paramo,0
Lake,Santa Marta paramo,0
Lara Falcon dry forests,Santa Marta paramo,0
Magdalena Valley dry forests,Santa Marta paramo,1
Magdalena Valley montane forests,Santa Marta paramo,1
Magellanic subpolar forests,Santa Marta paramo,0
Maranon dry forests,Santa Marta paramo,0
Northern Andean paramo,Santa Marta paramo,0.333333333
Northwestern Andean montane forests,Santa Marta paramo,0.5
Patagonian steppe,Santa Marta paramo,0
Patia Valley dry forests,Santa Marta paramo,1
Peruvian Yungas,Santa Marta paramo,0
Rock and Ice,Santa Marta paramo,0
Santa Marta montane forests,Santa Marta paramo,1
Southern Andean Yungas,Santa Marta paramo,0
Southern Andean steppe,Santa Marta paramo,0
Tumbes Piura dry forests,Santa Marta paramo,0
Valdivian temperate forests,Santa Marta paramo,0
Venezuelan Andes montane forests,Santa Marta paramo,0.5
Araya and Paria xeric scrub,Southern Andean Yungas,0
Atacama desert,Southern Andean Yungas,0
Bolivian Yungas,Southern Andean Yungas,0.333333333
Bolivian montane dry forests,Southern Andean Yungas,1
Cauca Valley dry forests,Southern Andean Yungas,0
Cauca Valley montane forests,Southern Andean Yungas,0
Central Andean dry puna,Southern Andean Yungas,0.5
Central Andean puna,Southern Andean Yungas,0.5
Central Andean wet puna,Southern Andean Yungas,0.333333333
Chilean matorral,Southern Andean Yungas,0
Cordillera Central paramo,Southern Andean Yungas,0
Cordillera La Costa montane forests,Southern Andean Yungas,0
Cordillera Oriental montane forests,Southern Andean Yungas,0
Cordillera de Merida paramo,Southern Andean Yungas,0
Eastern Cordillera real montane forests,Southern Andean Yungas,0
High Monte,Southern Andean Yungas,0.5
La Costa xeric shrublands,Southern Andean Yungas,0
Lake,Southern Andean Yungas,0.333333333
Lara Falcon dry forests,Southern Andean Yungas,0
Magdalena Valley dry forests,Southern Andean Yungas,0
Magdalena Valley montane forests,Southern Andean Yungas,0
Magellanic subpolar forests,Southern Andean Yungas,0.333333333
Maranon dry forests,Southern Andean Yungas,0
Northern Andean paramo,Southern Andean Yungas,0
Northwestern Andean montane forests,Southern Andean Yungas,0
Patagonian steppe,Southern Andean Yungas,0.333333333
Patia Valley dry forests,Southern Andean Yungas,0
Peruvian Yungas,Southern Andean Yungas,0
Rock and Ice,Southern Andean Yungas,0.333333333
Santa Marta montane forests,Southern Andean Yungas,0
Santa Marta paramo,Southern Andean Yungas,0
Southern Andean steppe,Southern Andean Yungas,0.333333333
Tumbes Piura dry forests,Southern Andean Yungas,0
Valdivian temperate forests,Southern Andean Yungas,0.333333333
Venezuelan Andes montane forests,Southern Andean Yungas,0
Araya and Paria xeric scrub,Southern Andean steppe,0
Atacama desert,Southern Andean steppe,0.5
Bolivian Yungas,Southern Andean steppe,0
Bolivian montane dry forests,Southern Andean steppe,0.333333333
Cauca Valley dry forests,Southern Andean steppe,0
Cauca Valley montane forests,Southern Andean steppe,0
Central Andean dry puna,Southern Andean steppe,0.5
Central Andean puna,Southern Andean steppe,0.5
Central Andean wet puna,Southern Andean steppe,0
Chilean matorral,Southern Andean steppe,0.5
Cordillera Central paramo,Southern Andean steppe,0
Cordillera La Costa montane forests,Southern Andean steppe,0
Cordillera Oriental montane forests,Southern Andean steppe,0
Cordillera de Merida paramo,Southern Andean steppe,0
Eastern Cordillera real montane forests,Southern Andean steppe,0
High Monte,Southern Andean steppe,0.5
La Costa xeric shrublands,Southern Andean steppe,0
Lake,Southern Andean steppe,0
Lara Falcon dry forests,Southern Andean steppe,0
Magdalena Valley dry forests,Southern Andean steppe,0
Magdalena Valley montane forests,Southern Andean steppe,0
Magellanic subpolar forests,Southern Andean steppe,1
Maranon dry forests,Southern Andean steppe,0
Northern Andean paramo,Southern Andean steppe,0
Northwestern Andean montane forests,Southern Andean steppe,0
Patagonian steppe,Southern Andean steppe,1
Patia Valley dry forests,Southern Andean steppe,0
Peruvian Yungas,Southern Andean steppe,0
Rock and Ice,Southern Andean steppe,1
Santa Marta montane forests,Southern Andean steppe,0
Santa Marta paramo,Southern Andean steppe,0
Southern Andean Yungas,Southern Andean steppe,0.333333333
Tumbes Piura dry forests,Southern Andean steppe,0
Valdivian temperate forests,Southern Andean steppe,1
Venezuelan Andes montane forests,Southern Andean steppe,0
Araya and Paria xeric scrub,Tumbes Piura dry forests,0
Atacama desert,Tumbes Piura dry forests,0
Bolivian Yungas,Tumbes Piura dry forests,0.333333333
Bolivian montane dry forests,Tumbes Piura dry forests,0
Cauca Valley dry forests,Tumbes Piura dry forests,0
Cauca Valley montane forests,Tumbes Piura dry forests,0
Central Andean dry puna,Tumbes Piura dry forests,0.2
Central Andean puna,Tumbes Piura dry forests,0.2
Central Andean wet puna,Tumbes Piura dry forests,0.333333333
Chilean matorral,Tumbes Piura dry forests,0
Cordillera Central paramo,Tumbes Piura dry forests,1
Cordillera La Costa montane forests,Tumbes Piura dry forests,0
Cordillera Oriental montane forests,Tumbes Piura dry forests,0
Cordillera de Merida paramo,Tumbes Piura dry forests,0
Eastern Cordillera real montane forests,Tumbes Piura dry forests,0.666666667
High Monte,Tumbes Piura dry forests,0
La Costa xeric shrublands,Tumbes Piura dry forests,0
Lake,Tumbes Piura dry forests,0.333333333
Lara Falcon dry forests,Tumbes Piura dry forests,0
Magdalena Valley dry forests,Tumbes Piura dry forests,0
Magdalena Valley montane forests,Tumbes Piura dry forests,0
Magellanic subpolar forests,Tumbes Piura dry forests,0
Maranon dry forests,Tumbes Piura dry forests,0.5
Northern Andean paramo,Tumbes Piura dry forests,0.25
Northwestern Andean montane forests,Tumbes Piura dry forests,0.333333333
Patagonian steppe,Tumbes Piura dry forests,0
Patia Valley dry forests,Tumbes Piura dry forests,0
Peruvian Yungas,Tumbes Piura dry forests,0.5
Rock and Ice,Tumbes Piura dry forests,0
Santa Marta montane forests,Tumbes Piura dry forests,0
Santa Marta paramo,Tumbes Piura dry forests,0
Southern Andean Yungas,Tumbes Piura dry forests,0
Southern Andean steppe,Tumbes Piura dry forests,0
Valdivian temperate forests,Tumbes Piura dry forests,0
Venezuelan Andes montane forests,Tumbes Piura dry forests,0
Araya and Paria xeric scrub,Valdivian temperate forests,0
Atacama desert,Valdivian temperate forests,0.5
Bolivian Yungas,Valdivian temperate forests,0
Bolivian montane dry forests,Valdivian temperate forests,0.333333333
Cauca Valley dry forests,Valdivian temperate forests,0
Cauca Valley montane forests,Valdivian temperate forests,0
Central Andean dry puna,Valdivian temperate forests,0.5
Central Andean puna,Valdivian temperate forests,0.5
Central Andean wet puna,Valdivian temperate forests,0
Chilean matorral,Valdivian temperate forests,0.5
Cordillera Central paramo,Valdivian temperate forests,0
Cordillera La Costa montane forests,Valdivian temperate forests,0
Cordillera Oriental montane forests,Valdivian temperate forests,0
Cordillera de Merida paramo,Valdivian temperate forests,0
Eastern Cordillera real montane forests,Valdivian temperate forests,0
High Monte,Valdivian temperate forests,0.5
La Costa xeric shrublands,Valdivian temperate forests,0
Lake,Valdivian temperate forests,0
Lara Falcon dry forests,Valdivian temperate forests,0
Magdalena Valley dry forests,Valdivian temperate forests,0
Magdalena Valley montane forests,Valdivian temperate forests,0
Magellanic subpolar forests,Valdivian temperate forests,1
Maranon dry forests,Valdivian temperate forests,0
Northern Andean paramo,Valdivian temperate forests,0
Northwestern Andean montane forests,Valdivian temperate forests,0
Patagonian steppe,Valdivian temperate forests,1
Patia Valley dry forests,Valdivian temperate forests,0
Peruvian Yungas,Valdivian temperate forests,0
Rock and Ice,Valdivian temperate forests,1
Santa Marta montane forests,Valdivian temperate forests,0
Santa Marta paramo,Valdivian temperate forests,0
Southern Andean Yungas,Valdivian temperate forests,0.333333333
Southern Andean steppe,Valdivian temperate forests,1
Tumbes Piura dry forests,Valdivian temperate forests,0
Venezuelan Andes montane forests,Valdivian temperate forests,0
Araya and Paria xeric scrub,Venezuelan Andes montane forests,0.5
Atacama desert,Venezuelan Andes montane forests,0
Bolivian Yungas,Venezuelan Andes montane forests,0
Bolivian montane dry forests,Venezuelan Andes montane forests,0
Cauca Valley dry forests,Venezuelan Andes montane forests,0.5
Cauca Valley montane forests,Venezuelan Andes montane forests,0.5
Central Andean dry puna,Venezuelan Andes montane forests,0
Central Andean puna,Venezuelan Andes montane forests,0
Central Andean wet puna,Venezuelan Andes montane forests,0
Chilean matorral,Venezuelan Andes montane forests,0
Cordillera Central paramo,Venezuelan Andes montane forests,0
Cordillera La Costa montane forests,Venezuelan Andes montane forests,0.5
Cordillera Oriental montane forests,Venezuelan Andes montane forests,1
Cordillera de Merida paramo,Venezuelan Andes montane forests,0.5
Eastern Cordillera real montane forests,Venezuelan Andes montane forests,0.25
High Monte,Venezuelan Andes montane forests,0
La Costa xeric shrublands,Venezuelan Andes montane forests,0.5
Lake,Venezuelan Andes montane forests,0
Lara Falcon dry forests,Venezuelan Andes montane forests,0.5
Magdalena Valley dry forests,Venezuelan Andes montane forests,0.5
Magdalena Valley montane forests,Venezuelan Andes montane forests,0.5
Magellanic subpolar forests,Venezuelan Andes montane forests,0
Maranon dry forests,Venezuelan Andes montane forests,0
Northern Andean paramo,Venezuelan Andes montane forests,0.666666667
Northwestern Andean montane forests,Venezuelan Andes montane forests,0.333333333
Patagonian steppe,Venezuelan Andes montane forests,0
Patia Valley dry forests,Venezuelan Andes montane forests,0.5
Peruvian Yungas,Venezuelan Andes montane forests,0
Rock and Ice,Venezuelan Andes montane forests,0
Santa Marta montane forests,Venezuelan Andes montane forests,0.5
Santa Marta paramo,Venezuelan Andes montane forests,0.5
Southern Andean Yungas,Venezuelan Andes montane forests,0
Southern Andean steppe,Venezuelan Andes montane forests,0
Tumbes Piura dry forests,Venezuelan Andes montane forests,0
Valdivian temperate forests,Venezuelan Andes montane forests,0
